w1 w2 q a
тайбэй_NOUN тайвань_NOUN вена_NOUN австрия_NOUN
тайбэй_NOUN тайвань_NOUN алжир_NOUN алжир_NOUN
тайбэй_NOUN тайвань_NOUN анкара_NOUN турция_NOUN
тайбэй_NOUN тайвань_NOUN афины_NOUN греция_NOUN
тайбэй_NOUN тайвань_NOUN бейрут_NOUN ливан_NOUN
вена_NOUN австрия_NOUN алжир_NOUN алжир_NOUN
вена_NOUN австрия_NOUN анкара_NOUN турция_NOUN
вена_NOUN австрия_NOUN афины_NOUN греция_NOUN
вена_NOUN австрия_NOUN бейрут_NOUN ливан_NOUN
вена_NOUN австрия_NOUN братислава_NOUN словакия_NOUN
вена_NOUN австрия_NOUN бухарест_NOUN румыния_NOUN
алжир_NOUN динар_NOUN армения_NOUN драм_NOUN
алжир_NOUN динар_NOUN бразилия_NOUN реал_NOUN
алжир_NOUN динар_NOUN болгария_NOUN лев_NOUN
алжир_NOUN динар_NOUN дания_NOUN крона_NOUN
алжир_NOUN динар_NOUN венгрия_NOUN форинт_NOUN
алжир_NOUN динар_NOUN литва_NOUN лит_NOUN
алжир_NOUN динар_NOUN мексика_NOUN песо_NOUN
алжир_NOUN динар_NOUN румыния_NOUN лей_NOUN
алжир_NOUN динар_NOUN россия_NOUN рубль_NOUN
алжир_NOUN динар_NOUN сша_NOUN доллар_NOUN
армения_NOUN драм_NOUN бразилия_NOUN реал_NOUN
армения_NOUN драм_NOUN болгария_NOUN лев_NOUN
армения_NOUN драм_NOUN дания_NOUN крона_NOUN
армения_NOUN драм_NOUN венгрия_NOUN форинт_NOUN
армения_NOUN драм_NOUN литва_NOUN лит_NOUN
армения_NOUN драм_NOUN мексика_NOUN песо_NOUN
армения_NOUN драм_NOUN румыния_NOUN лей_NOUN
армения_NOUN драм_NOUN россия_NOUN рубль_NOUN
армения_NOUN драм_NOUN сша_NOUN доллар_NOUN
армения_NOUN драм_NOUN алжир_NOUN динар_NOUN
бразилия_NOUN реал_NOUN болгария_NOUN лев_NOUN
бразилия_NOUN реал_NOUN дания_NOUN крона_NOUN
бразилия_NOUN реал_NOUN венгрия_NOUN форинт_NOUN
бразилия_NOUN реал_NOUN литва_NOUN лит_NOUN
бразилия_NOUN реал_NOUN мексика_NOUN песо_NOUN
бразилия_NOUN реал_NOUN румыния_NOUN лей_NOUN
бразилия_NOUN реал_NOUN россия_NOUN рубль_NOUN
бразилия_NOUN реал_NOUN сша_NOUN доллар_NOUN
бразилия_NOUN реал_NOUN алжир_NOUN динар_NOUN
бразилия_NOUN реал_NOUN армения_NOUN драм_NOUN
болгария_NOUN лев_NOUN дания_NOUN крона_NOUN
болгария_NOUN лев_NOUN венгрия_NOUN форинт_NOUN
болгария_NOUN лев_NOUN литва_NOUN лит_NOUN
болгария_NOUN лев_NOUN мексика_NOUN песо_NOUN
болгария_NOUN лев_NOUN румыния_NOUN лей_NOUN
болгария_NOUN лев_NOUN россия_NOUN рубль_NOUN
болгария_NOUN лев_NOUN сша_NOUN доллар_NOUN
болгария_NOUN лев_NOUN алжир_NOUN динар_NOUN
болгария_NOUN лев_NOUN армения_NOUN драм_NOUN
болгария_NOUN лев_NOUN бразилия_NOUN реал_NOUN
дания_NOUN крона_NOUN венгрия_NOUN форинт_NOUN
дания_NOUN крона_NOUN литва_NOUN лит_NOUN
дания_NOUN крона_NOUN мексика_NOUN песо_NOUN
дания_NOUN крона_NOUN румыния_NOUN лей_NOUN
дания_NOUN крона_NOUN россия_NOUN рубль_NOUN
дания_NOUN крона_NOUN сша_NOUN доллар_NOUN
дания_NOUN крона_NOUN алжир_NOUN динар_NOUN
дания_NOUN крона_NOUN армения_NOUN драм_NOUN
дания_NOUN крона_NOUN бразилия_NOUN реал_NOUN
дания_NOUN крона_NOUN болгария_NOUN лев_NOUN
венгрия_NOUN форинт_NOUN литва_NOUN лит_NOUN
венгрия_NOUN форинт_NOUN мексика_NOUN песо_NOUN
венгрия_NOUN форинт_NOUN румыния_NOUN лей_NOUN
венгрия_NOUN форинт_NOUN россия_NOUN рубль_NOUN
венгрия_NOUN форинт_NOUN сша_NOUN доллар_NOUN
венгрия_NOUN форинт_NOUN алжир_NOUN динар_NOUN
венгрия_NOUN форинт_NOUN армения_NOUN драм_NOUN
венгрия_NOUN форинт_NOUN бразилия_NOUN реал_NOUN
венгрия_NOUN форинт_NOUN болгария_NOUN лев_NOUN
венгрия_NOUN форинт_NOUN дания_NOUN крона_NOUN
литва_NOUN лит_NOUN мексика_NOUN песо_NOUN
литва_NOUN лит_NOUN румыния_NOUN лей_NOUN
литва_NOUN лит_NOUN россия_NOUN рубль_NOUN
литва_NOUN лит_NOUN сша_NOUN доллар_NOUN
литва_NOUN лит_NOUN алжир_NOUN динар_NOUN
литва_NOUN лит_NOUN армения_NOUN драм_NOUN
литва_NOUN лит_NOUN бразилия_NOUN реал_NOUN
литва_NOUN лит_NOUN болгария_NOUN лев_NOUN
литва_NOUN лит_NOUN дания_NOUN крона_NOUN
литва_NOUN лит_NOUN венгрия_NOUN форинт_NOUN
мексика_NOUN песо_NOUN румыния_NOUN лей_NOUN
мексика_NOUN песо_NOUN россия_NOUN рубль_NOUN
мексика_NOUN песо_NOUN сша_NOUN доллар_NOUN
мексика_NOUN песо_NOUN алжир_NOUN динар_NOUN
мексика_NOUN песо_NOUN армения_NOUN драм_NOUN
мексика_NOUN песо_NOUN бразилия_NOUN реал_NOUN
мексика_NOUN песо_NOUN болгария_NOUN лев_NOUN
мексика_NOUN песо_NOUN дания_NOUN крона_NOUN
мексика_NOUN песо_NOUN венгрия_NOUN форинт_NOUN
мексика_NOUN песо_NOUN литва_NOUN лит_NOUN
румыния_NOUN лей_NOUN россия_NOUN рубль_NOUN
румыния_NOUN лей_NOUN сша_NOUN доллар_NOUN
румыния_NOUN лей_NOUN алжир_NOUN динар_NOUN
румыния_NOUN лей_NOUN армения_NOUN драм_NOUN
румыния_NOUN лей_NOUN бразилия_NOUN реал_NOUN
румыния_NOUN лей_NOUN болгария_NOUN лев_NOUN
румыния_NOUN лей_NOUN дания_NOUN крона_NOUN
румыния_NOUN лей_NOUN венгрия_NOUN форинт_NOUN
румыния_NOUN лей_NOUN литва_NOUN лит_NOUN
румыния_NOUN лей_NOUN мексика_NOUN песо_NOUN
россия_NOUN рубль_NOUN сша_NOUN доллар_NOUN
россия_NOUN рубль_NOUN алжир_NOUN динар_NOUN
россия_NOUN рубль_NOUN армения_NOUN драм_NOUN
россия_NOUN рубль_NOUN бразилия_NOUN реал_NOUN
россия_NOUN рубль_NOUN болгария_NOUN лев_NOUN
россия_NOUN рубль_NOUN дания_NOUN крона_NOUN
россия_NOUN рубль_NOUN венгрия_NOUN форинт_NOUN
россия_NOUN рубль_NOUN литва_NOUN лит_NOUN
россия_NOUN рубль_NOUN мексика_NOUN песо_NOUN
россия_NOUN рубль_NOUN румыния_NOUN лей_NOUN
сша_NOUN доллар_NOUN алжир_NOUN динар_NOUN
сша_NOUN доллар_NOUN армения_NOUN драм_NOUN
сша_NOUN доллар_NOUN бразилия_NOUN реал_NOUN
сша_NOUN доллар_NOUN болгария_NOUN лев_NOUN
сша_NOUN доллар_NOUN дания_NOUN крона_NOUN
сша_NOUN доллар_NOUN венгрия_NOUN форинт_NOUN
сша_NOUN доллар_NOUN литва_NOUN лит_NOUN
сша_NOUN доллар_NOUN мексика_NOUN песо_NOUN
сша_NOUN доллар_NOUN румыния_NOUN лей_NOUN
сша_NOUN доллар_NOUN россия_NOUN рубль_NOUN
филадельфия_NOUN пенсильвания_NOUN детройт_NOUN мичиган_NOUN
мальчик_NOUN девочка_NOUN брат_NOUN сестра_NOUN
мальчик_NOUN девочка_NOUN папа_NOUN мама_NOUN
мальчик_NOUN девочка_NOUN отец_NOUN мать_NOUN
мальчик_NOUN девочка_NOUN дед_NOUN бабка_NOUN
мальчик_NOUN девочка_NOUN дедушка_NOUN бабушка_NOUN
мальчик_NOUN девочка_NOUN внук_NOUN внучка_NOUN
мальчик_NOUN девочка_NOUN жених_NOUN невеста_NOUN
мальчик_NOUN девочка_NOUN он_PRON она_PRON
мальчик_NOUN девочка_NOUN муж_NOUN жена_NOUN
мальчик_NOUN девочка_NOUN король_NOUN королева_NOUN
мальчик_NOUN девочка_NOUN мужчина_NOUN женщина_NOUN
мальчик_NOUN девочка_NOUN племянник_NOUN племянница_NOUN
мальчик_NOUN девочка_NOUN принц_NOUN принцесса_NOUN
мальчик_NOUN девочка_NOUN сын_NOUN дочь_NOUN
мальчик_NOUN девочка_NOUN тесть_NOUN теща_NOUN
мальчик_NOUN девочка_NOUN отчим_NOUN мачеха_NOUN
мальчик_NOUN девочка_NOUN пасынок_NOUN падчерица_NOUN
мальчик_NOUN девочка_NOUN дядя_NOUN тетя_NOUN
брат_NOUN сестра_NOUN папа_NOUN мама_NOUN
брат_NOUN сестра_NOUN отец_NOUN мать_NOUN
брат_NOUN сестра_NOUN дед_NOUN бабка_NOUN
брат_NOUN сестра_NOUN дедушка_NOUN бабушка_NOUN
брат_NOUN сестра_NOUN внук_NOUN внучка_NOUN
брат_NOUN сестра_NOUN жених_NOUN невеста_NOUN
брат_NOUN сестра_NOUN он_PRON она_PRON
брат_NOUN сестра_NOUN муж_NOUN жена_NOUN
брат_NOUN сестра_NOUN король_NOUN королева_NOUN
брат_NOUN сестра_NOUN мужчина_NOUN женщина_NOUN
брат_NOUN сестра_NOUN племянник_NOUN племянница_NOUN
брат_NOUN сестра_NOUN принц_NOUN принцесса_NOUN
брат_NOUN сестра_NOUN сын_NOUN дочь_NOUN
брат_NOUN сестра_NOUN тесть_NOUN теща_NOUN
брат_NOUN сестра_NOUN отчим_NOUN мачеха_NOUN
брат_NOUN сестра_NOUN пасынок_NOUN падчерица_NOUN
брат_NOUN сестра_NOUN дядя_NOUN тетя_NOUN
брат_NOUN сестра_NOUN мальчик_NOUN девочка_NOUN
папа_NOUN мама_NOUN отец_NOUN мать_NOUN
папа_NOUN мама_NOUN дед_NOUN бабка_NOUN
папа_NOUN мама_NOUN дедушка_NOUN бабушка_NOUN
папа_NOUN мама_NOUN внук_NOUN внучка_NOUN
папа_NOUN мама_NOUN жених_NOUN невеста_NOUN
папа_NOUN мама_NOUN он_PRON она_PRON
папа_NOUN мама_NOUN муж_NOUN жена_NOUN
папа_NOUN мама_NOUN король_NOUN королева_NOUN
папа_NOUN мама_NOUN мужчина_NOUN женщина_NOUN
папа_NOUN мама_NOUN племянник_NOUN племянница_NOUN
папа_NOUN мама_NOUN принц_NOUN принцесса_NOUN
папа_NOUN мама_NOUN сын_NOUN дочь_NOUN
папа_NOUN мама_NOUN тесть_NOUN теща_NOUN
папа_NOUN мама_NOUN отчим_NOUN мачеха_NOUN
папа_NOUN мама_NOUN пасынок_NOUN падчерица_NOUN
папа_NOUN мама_NOUN дядя_NOUN тетя_NOUN
папа_NOUN мама_NOUN мальчик_NOUN девочка_NOUN
папа_NOUN мама_NOUN брат_NOUN сестра_NOUN
отец_NOUN мать_NOUN дед_NOUN бабка_NOUN
отец_NOUN мать_NOUN дедушка_NOUN бабушка_NOUN
отец_NOUN мать_NOUN внук_NOUN внучка_NOUN
отец_NOUN мать_NOUN жених_NOUN невеста_NOUN
отец_NOUN мать_NOUN он_PRON она_PRON
отец_NOUN мать_NOUN муж_NOUN жена_NOUN
отец_NOUN мать_NOUN король_NOUN королева_NOUN
отец_NOUN мать_NOUN мужчина_NOUN женщина_NOUN
отец_NOUN мать_NOUN племянник_NOUN племянница_NOUN
отец_NOUN мать_NOUN принц_NOUN принцесса_NOUN
отец_NOUN мать_NOUN сын_NOUN дочь_NOUN
отец_NOUN мать_NOUN тесть_NOUN теща_NOUN
отец_NOUN мать_NOUN отчим_NOUN мачеха_NOUN
отец_NOUN мать_NOUN пасынок_NOUN падчерица_NOUN
отец_NOUN мать_NOUN дядя_NOUN тетя_NOUN
отец_NOUN мать_NOUN мальчик_NOUN девочка_NOUN
отец_NOUN мать_NOUN брат_NOUN сестра_NOUN
отец_NOUN мать_NOUN папа_NOUN мама_NOUN
дед_NOUN бабка_NOUN дедушка_NOUN бабушка_NOUN
дед_NOUN бабка_NOUN внук_NOUN внучка_NOUN
дед_NOUN бабка_NOUN жених_NOUN невеста_NOUN
дед_NOUN бабка_NOUN он_PRON она_PRON
дед_NOUN бабка_NOUN муж_NOUN жена_NOUN
дед_NOUN бабка_NOUN король_NOUN королева_NOUN
дед_NOUN бабка_NOUN мужчина_NOUN женщина_NOUN
дед_NOUN бабка_NOUN племянник_NOUN племянница_NOUN
дед_NOUN бабка_NOUN принц_NOUN принцесса_NOUN
дед_NOUN бабка_NOUN сын_NOUN дочь_NOUN
дед_NOUN бабка_NOUN тесть_NOUN теща_NOUN
дед_NOUN бабка_NOUN отчим_NOUN мачеха_NOUN
дед_NOUN бабка_NOUN пасынок_NOUN падчерица_NOUN
дед_NOUN бабка_NOUN дядя_NOUN тетя_NOUN
дед_NOUN бабка_NOUN мальчик_NOUN девочка_NOUN
дед_NOUN бабка_NOUN брат_NOUN сестра_NOUN
дед_NOUN бабка_NOUN папа_NOUN мама_NOUN
дед_NOUN бабка_NOUN отец_NOUN мать_NOUN
дедушка_NOUN бабушка_NOUN внук_NOUN внучка_NOUN
дедушка_NOUN бабушка_NOUN жених_NOUN невеста_NOUN
дедушка_NOUN бабушка_NOUN он_PRON она_PRON
дедушка_NOUN бабушка_NOUN муж_NOUN жена_NOUN
дедушка_NOUN бабушка_NOUN король_NOUN королева_NOUN
дедушка_NOUN бабушка_NOUN мужчина_NOUN женщина_NOUN
дедушка_NOUN бабушка_NOUN племянник_NOUN племянница_NOUN
дедушка_NOUN бабушка_NOUN принц_NOUN принцесса_NOUN
дедушка_NOUN бабушка_NOUN сын_NOUN дочь_NOUN
дедушка_NOUN бабушка_NOUN тесть_NOUN теща_NOUN
дедушка_NOUN бабушка_NOUN отчим_NOUN мачеха_NOUN
дедушка_NOUN бабушка_NOUN пасынок_NOUN падчерица_NOUN
дедушка_NOUN бабушка_NOUN дядя_NOUN тетя_NOUN
дедушка_NOUN бабушка_NOUN мальчик_NOUN девочка_NOUN
дедушка_NOUN бабушка_NOUN брат_NOUN сестра_NOUN
дедушка_NOUN бабушка_NOUN папа_NOUN мама_NOUN
дедушка_NOUN бабушка_NOUN отец_NOUN мать_NOUN
дедушка_NOUN бабушка_NOUN дед_NOUN бабка_NOUN
внук_NOUN внучка_NOUN жених_NOUN невеста_NOUN
внук_NOUN внучка_NOUN он_PRON она_PRON
внук_NOUN внучка_NOUN муж_NOUN жена_NOUN
внук_NOUN внучка_NOUN король_NOUN королева_NOUN
внук_NOUN внучка_NOUN мужчина_NOUN женщина_NOUN
внук_NOUN внучка_NOUN племянник_NOUN племянница_NOUN
внук_NOUN внучка_NOUN принц_NOUN принцесса_NOUN
внук_NOUN внучка_NOUN сын_NOUN дочь_NOUN
внук_NOUN внучка_NOUN тесть_NOUN теща_NOUN
внук_NOUN внучка_NOUN отчим_NOUN мачеха_NOUN
внук_NOUN внучка_NOUN пасынок_NOUN падчерица_NOUN
внук_NOUN внучка_NOUN дядя_NOUN тетя_NOUN
внук_NOUN внучка_NOUN мальчик_NOUN девочка_NOUN
внук_NOUN внучка_NOUN брат_NOUN сестра_NOUN
внук_NOUN внучка_NOUN папа_NOUN мама_NOUN
внук_NOUN внучка_NOUN отец_NOUN мать_NOUN
внук_NOUN внучка_NOUN дед_NOUN бабка_NOUN
внук_NOUN внучка_NOUN дедушка_NOUN бабушка_NOUN
жених_NOUN невеста_NOUN он_PRON она_PRON
жених_NOUN невеста_NOUN муж_NOUN жена_NOUN
жених_NOUN невеста_NOUN король_NOUN королева_NOUN
жених_NOUN невеста_NOUN мужчина_NOUN женщина_NOUN
жених_NOUN невеста_NOUN племянник_NOUN племянница_NOUN
жених_NOUN невеста_NOUN принц_NOUN принцесса_NOUN
жених_NOUN невеста_NOUN сын_NOUN дочь_NOUN
жених_NOUN невеста_NOUN тесть_NOUN теща_NOUN
жених_NOUN невеста_NOUN отчим_NOUN мачеха_NOUN
жених_NOUN невеста_NOUN пасынок_NOUN падчерица_NOUN
жених_NOUN невеста_NOUN дядя_NOUN тетя_NOUN
жених_NOUN невеста_NOUN мальчик_NOUN девочка_NOUN
жених_NOUN невеста_NOUN брат_NOUN сестра_NOUN
жених_NOUN невеста_NOUN папа_NOUN мама_NOUN
жених_NOUN невеста_NOUN отец_NOUN мать_NOUN
жених_NOUN невеста_NOUN дед_NOUN бабка_NOUN
жених_NOUN невеста_NOUN дедушка_NOUN бабушка_NOUN
жених_NOUN невеста_NOUN внук_NOUN внучка_NOUN
он_PRON она_PRON муж_NOUN жена_NOUN
он_PRON она_PRON король_NOUN королева_NOUN
он_PRON она_PRON мужчина_NOUN женщина_NOUN
он_PRON она_PRON племянник_NOUN племянница_NOUN
он_PRON она_PRON принц_NOUN принцесса_NOUN
он_PRON она_PRON сын_NOUN дочь_NOUN
он_PRON она_PRON тесть_NOUN теща_NOUN
он_PRON она_PRON отчим_NOUN мачеха_NOUN
он_PRON она_PRON пасынок_NOUN падчерица_NOUN
он_PRON она_PRON дядя_NOUN тетя_NOUN
он_PRON она_PRON мальчик_NOUN девочка_NOUN
он_PRON она_PRON брат_NOUN сестра_NOUN
он_PRON она_PRON папа_NOUN мама_NOUN
он_PRON она_PRON отец_NOUN мать_NOUN
он_PRON она_PRON дед_NOUN бабка_NOUN
он_PRON она_PRON дедушка_NOUN бабушка_NOUN
он_PRON она_PRON внук_NOUN внучка_NOUN
он_PRON она_PRON жених_NOUN невеста_NOUN
муж_NOUN жена_NOUN король_NOUN королева_NOUN
муж_NOUN жена_NOUN мужчина_NOUN женщина_NOUN
муж_NOUN жена_NOUN племянник_NOUN племянница_NOUN
муж_NOUN жена_NOUN принц_NOUN принцесса_NOUN
муж_NOUN жена_NOUN сын_NOUN дочь_NOUN
муж_NOUN жена_NOUN тесть_NOUN теща_NOUN
муж_NOUN жена_NOUN отчим_NOUN мачеха_NOUN
муж_NOUN жена_NOUN пасынок_NOUN падчерица_NOUN
муж_NOUN жена_NOUN дядя_NOUN тетя_NOUN
муж_NOUN жена_NOUN мальчик_NOUN девочка_NOUN
муж_NOUN жена_NOUN брат_NOUN сестра_NOUN
муж_NOUN жена_NOUN папа_NOUN мама_NOUN
муж_NOUN жена_NOUN отец_NOUN мать_NOUN
муж_NOUN жена_NOUN дед_NOUN бабка_NOUN
муж_NOUN жена_NOUN дедушка_NOUN бабушка_NOUN
муж_NOUN жена_NOUN внук_NOUN внучка_NOUN
муж_NOUN жена_NOUN жених_NOUN невеста_NOUN
муж_NOUN жена_NOUN он_PRON она_PRON
король_NOUN королева_NOUN мужчина_NOUN женщина_NOUN
король_NOUN королева_NOUN племянник_NOUN племянница_NOUN
король_NOUN королева_NOUN принц_NOUN принцесса_NOUN
король_NOUN королева_NOUN сын_NOUN дочь_NOUN
король_NOUN королева_NOUN тесть_NOUN теща_NOUN
король_NOUN королева_NOUN отчим_NOUN мачеха_NOUN
король_NOUN королева_NOUN пасынок_NOUN падчерица_NOUN
король_NOUN королева_NOUN дядя_NOUN тетя_NOUN
король_NOUN королева_NOUN мальчик_NOUN девочка_NOUN
король_NOUN королева_NOUN брат_NOUN сестра_NOUN
король_NOUN королева_NOUN папа_NOUN мама_NOUN
король_NOUN королева_NOUN отец_NOUN мать_NOUN
король_NOUN королева_NOUN дед_NOUN бабка_NOUN
король_NOUN королева_NOUN дедушка_NOUN бабушка_NOUN
король_NOUN королева_NOUN внук_NOUN внучка_NOUN
король_NOUN королева_NOUN жених_NOUN невеста_NOUN
король_NOUN королева_NOUN он_PRON она_PRON
король_NOUN королева_NOUN муж_NOUN жена_NOUN
мужчина_NOUN женщина_NOUN племянник_NOUN племянница_NOUN
мужчина_NOUN женщина_NOUN принц_NOUN принцесса_NOUN
мужчина_NOUN женщина_NOUN сын_NOUN дочь_NOUN
мужчина_NOUN женщина_NOUN тесть_NOUN теща_NOUN
мужчина_NOUN женщина_NOUN отчим_NOUN мачеха_NOUN
мужчина_NOUN женщина_NOUN пасынок_NOUN падчерица_NOUN
мужчина_NOUN женщина_NOUN дядя_NOUN тетя_NOUN
мужчина_NOUN женщина_NOUN мальчик_NOUN девочка_NOUN
мужчина_NOUN женщина_NOUN брат_NOUN сестра_NOUN
мужчина_NOUN женщина_NOUN папа_NOUN мама_NOUN
мужчина_NOUN женщина_NOUN отец_NOUN мать_NOUN
мужчина_NOUN женщина_NOUN дед_NOUN бабка_NOUN
мужчина_NOUN женщина_NOUN дедушка_NOUN бабушка_NOUN
мужчина_NOUN женщина_NOUN внук_NOUN внучка_NOUN
мужчина_NOUN женщина_NOUN жених_NOUN невеста_NOUN
мужчина_NOUN женщина_NOUN он_PRON она_PRON
мужчина_NOUN женщина_NOUN муж_NOUN жена_NOUN
мужчина_NOUN женщина_NOUN король_NOUN королева_NOUN
племянник_NOUN племянница_NOUN принц_NOUN принцесса_NOUN
племянник_NOUN племянница_NOUN сын_NOUN дочь_NOUN
племянник_NOUN племянница_NOUN тесть_NOUN теща_NOUN
племянник_NOUN племянница_NOUN отчим_NOUN мачеха_NOUN
племянник_NOUN племянница_NOUN пасынок_NOUN падчерица_NOUN
племянник_NOUN племянница_NOUN дядя_NOUN тетя_NOUN
племянник_NOUN племянница_NOUN мальчик_NOUN девочка_NOUN
племянник_NOUN племянница_NOUN брат_NOUN сестра_NOUN
племянник_NOUN племянница_NOUN папа_NOUN мама_NOUN
племянник_NOUN племянница_NOUN отец_NOUN мать_NOUN
племянник_NOUN племянница_NOUN дед_NOUN бабка_NOUN
племянник_NOUN племянница_NOUN дедушка_NOUN бабушка_NOUN
племянник_NOUN племянница_NOUN внук_NOUN внучка_NOUN
племянник_NOUN племянница_NOUN жених_NOUN невеста_NOUN
племянник_NOUN племянница_NOUN он_PRON она_PRON
племянник_NOUN племянница_NOUN муж_NOUN жена_NOUN
племянник_NOUN племянница_NOUN король_NOUN королева_NOUN
племянник_NOUN племянница_NOUN мужчина_NOUN женщина_NOUN
принц_NOUN принцесса_NOUN сын_NOUN дочь_NOUN
принц_NOUN принцесса_NOUN тесть_NOUN теща_NOUN
принц_NOUN принцесса_NOUN отчим_NOUN мачеха_NOUN
принц_NOUN принцесса_NOUN пасынок_NOUN падчерица_NOUN
принц_NOUN принцесса_NOUN дядя_NOUN тетя_NOUN
принц_NOUN принцесса_NOUN мальчик_NOUN девочка_NOUN
принц_NOUN принцесса_NOUN брат_NOUN сестра_NOUN
принц_NOUN принцесса_NOUN папа_NOUN мама_NOUN
принц_NOUN принцесса_NOUN отец_NOUN мать_NOUN
принц_NOUN принцесса_NOUN дед_NOUN бабка_NOUN
принц_NOUN принцесса_NOUN дедушка_NOUN бабушка_NOUN
принц_NOUN принцесса_NOUN внук_NOUN внучка_NOUN
принц_NOUN принцесса_NOUN жених_NOUN невеста_NOUN
принц_NOUN принцесса_NOUN он_PRON она_PRON
принц_NOUN принцесса_NOUN муж_NOUN жена_NOUN
принц_NOUN принцесса_NOUN король_NOUN королева_NOUN
принц_NOUN принцесса_NOUN мужчина_NOUN женщина_NOUN
принц_NOUN принцесса_NOUN племянник_NOUN племянница_NOUN
сын_NOUN дочь_NOUN тесть_NOUN теща_NOUN
сын_NOUN дочь_NOUN отчим_NOUN мачеха_NOUN
сын_NOUN дочь_NOUN пасынок_NOUN падчерица_NOUN
сын_NOUN дочь_NOUN дядя_NOUN тетя_NOUN
сын_NOUN дочь_NOUN мальчик_NOUN девочка_NOUN
сын_NOUN дочь_NOUN брат_NOUN сестра_NOUN
сын_NOUN дочь_NOUN папа_NOUN мама_NOUN
сын_NOUN дочь_NOUN отец_NOUN мать_NOUN
сын_NOUN дочь_NOUN дед_NOUN бабка_NOUN
сын_NOUN дочь_NOUN дедушка_NOUN бабушка_NOUN
